DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout;;;;;;;;;;
01/10/2028;0;0;compute_energy;;;;31;03/04/2025;JLF;;01/04/2052;0;0;compute_energy;;;;125;03/04/2025
01/11/2028;0;0;current;;;;29;24/10/2024;JLF;;01/07/2052;0;0;compute_energy;;;;126;03/04/2025
01/12/2028;0;0;current;;;;30;24/10/2024;JLF;;01/10/2052;0;0;compute_energy;;;;127;03/04/2025
01/01/2029;0;0;current;;;;31;24/10/2024;JLF;;01/01/2053;0;0;compute_energy;;;;128;03/04/2025
01/01/2029;0;0;compute_energy;;;;32;03/04/2025;JLF;;01/04/2053;0;0;compute_energy;;;;129;03/04/2025
01/02/2029;0;0;current;;;;32;24/10/2024;JLF;;01/07/2053;0;0;compute_energy;;;;130;03/04/2025
01/03/2029;0;0;current;;;;33;24/10/2024;JLF;;01/10/2053;0;0;compute_energy;;;;131;03/04/2025
01/04/2029;0;0;current;;;;34;24/10/2024;JLF;;01/01/2054;0;0;compute_energy;;;;132;03/04/2025
01/04/2029;0;0;compute_energy;;;;33;03/04/2025;JLF;;01/04/2054;0;0;compute_energy;;;;133;03/04/2025
01/05/2029;0;0;current;;;;35;24/10/2024;JLF;;01/07/2054;0;0;compute_energy;;;;134;03/04/2025
01/06/2029;0;0;current;;;;36;24/10/2024;JLF;;01/10/2054;0;0;compute_energy;;;;135;03/04/2025
01/07/2029;0;0;current;;;;37;24/10/2024;JLF;;01/01/2055;0;0;compute_energy;;;;136;03/04/2025
01/07/2029;0;0;compute_energy;;;;34;03/04/2025;JLF;;01/04/2055;0;0;compute_energy;;;;137;03/04/2025
01/08/2029;0;0;current;;;;38;24/10/2024;JLF;;01/07/2055;0;0;compute_energy;;;;138;03/04/2025
01/09/2029;0;0;current;;;;39;24/10/2024;JLF;;01/10/2055;0;0;compute_energy;;;;139;03/04/2025
01/10/2029;0;0;current;;;;40;24/10/2024;JLF;;01/01/2056;0;0;compute_energy;;;;140;03/04/2025
01/10/2029;0;0;compute_energy;;;;35;03/04/2025;JLF;;01/04/2056;0;0;compute_energy;;;;141;03/04/2025
01/11/2029;0;0;current;;;;41;24/10/2024;JLF;;01/07/2056;0;0;compute_energy;;;;142;03/04/2025
01/12/2029;0;0;current;;;;42;24/10/2024;JLF;;01/10/2056;0;0;compute_energy;;;;143;03/04/2025
01/01/2030;0;0;current;;;;43;24/10/2024;JLF;;01/01/2057;0;0;compute_energy;;;;144;03/04/2025
01/01/2030;0;0;compute_energy;;;;36;03/04/2025;JLF;;01/04/2057;0;0;compute_energy;;;;145;03/04/2025
01/02/2030;0;0;current;;;;44;24/10/2024;JLF;;01/07/2057;0;0;compute_energy;;;;146;03/04/2025
01/03/2030;0;0;current;;;;45;24/10/2024;JLF;;01/10/2057;0;0;compute_energy;;;;147;03/04/2025
01/04/2030;0;0;current;;;;46;24/10/2024;JLF;;01/01/2058;0;0;compute_energy;;;;148;03/04/2025
01/04/2030;0;0;compute_energy;;;;37;03/04/2025;JLF;;01/04/2058;0;0;compute_energy;;;;149;03/04/2025
01/05/2030;0;0;current;;;;47;24/10/2024;JLF;;01/07/2058;0;0;compute_energy;;;;150;03/04/2025
01/06/2030;0;0;current;;;;48;24/10/2024;JLF;;01/10/2058;0;0;compute_energy;;;;151;03/04/2025
01/07/2030;0;0;current;;;;49;24/10/2024;JLF;;01/01/2059;0;0;compute_energy;;;;152;03/04/2025
01/07/2030;0;0;compute_energy;;;;38;03/04/2025;JLF;;01/04/2059;0;0;compute_energy;;;;153;03/04/2025
01/08/2030;0;0;current;;;;50;24/10/2024;JLF;;01/07/2059;0;0;compute_energy;;;;154;03/04/2025
01/09/2030;0;0;current;;;;51;24/10/2024;JLF;;01/10/2059;0;0;compute_energy;;;;155;03/04/2025
01/10/2030;0;0;current;;;;52;24/10/2024;JLF;;01/01/2060;0;0;compute_energy;;;;156;03/04/2025
01/10/2030;0;0;compute_energy;;;;39;03/04/2025;JLF;;01/04/2060;0;0;compute_energy;;;;157;03/04/2025
01/11/2030;0;0;current;;;;53;24/10/2024;JLF;;01/07/2060;0;0;compute_energy;;;;158;03/04/2025
01/12/2030;0;0;current;;;;54;24/10/2024;JLF;;01/10/2060;0;0;compute_energy;;;;159;03/04/2025
01/01/2031;0;0;current;;;;55;24/10/2024;JLF;;01/01/2061;0;0;compute_energy;;;;160;03/04/2025
01/01/2031;0;0;compute_energy;;;;40;03/04/2025;JLF;;01/04/2061;0;0;compute_energy;;;;161;03/04/2025
01/02/2031;0;0;current;;;;56;24/10/2024;JLF;;01/07/2061;0;0;compute_energy;;;;162;03/04/2025
01/03/2031;0;0;current;;;;57;24/10/2024;JLF;;01/10/2061;0;0;compute_energy;;;;163;03/04/2025
01/04/2031;0;0;current;;;;58;24/10/2024;JLF;;01/01/2062;0;0;compute_energy;;;;164;03/04/2025
01/04/2031;0;0;compute_energy;;;;41;03/04/2025;JLF;;01/04/2062;0;0;compute_energy;;;;165;03/04/2025
01/05/2031;0;0;current;;;;59;24/10/2024;JLF;;01/07/2062;0;0;compute_energy;;;;166;03/04/2025
01/06/2031;0;0;current;;;;60;24/10/2024;JLF;;01/10/2062;0;0;compute_energy;;;;167;03/04/2025
01/07/2031;0;0;current;;;;61;24/10/2024;JLF;;01/01/2063;0;0;compute_energy;;;;168;03/04/2025
01/07/2031;0;0;compute_energy;;;;42;03/04/2025;JLF;;01/04/2063;0;0;compute_energy;;;;169;03/04/2025
01/08/2031;0;0;current;;;;62;24/10/2024;JLF;;01/07/2063;0;0;compute_energy;;;;170;03/04/2025
01/09/2031;0;0;current;;;;63;24/10/2024;JLF;;01/10/2063;0;0;compute_energy;;;;171;03/04/2025
01/10/2031;0;0;current;;;;64;24/10/2024;JLF;;01/01/2064;0;0;compute_energy;;;;172;03/04/2025
01/10/2031;0;0;compute_energy;;;;43;03/04/2025;JLF;;01/04/2064;0;0;compute_energy;;;;173;03/04/2025
01/11/2031;0;0;current;;;;65;24/10/2024;JLF;;01/07/2064;0;0;compute_energy;;;;174;03/04/2025
01/12/2031;0;0;current;;;;66;24/10/2024;JLF;;01/10/2064;0;0;compute_energy;;;;175;03/04/2025
01/01/2032;0;0;current;;;;67;24/10/2024;JLF;;01/01/2065;0;0;compute_energy;;;;176;03/04/2025
01/01/2032;0;0;compute_energy;;;;44;03/04/2025;JLF;;01/04/2065;0;0;compute_energy;;;;177;03/04/2025
01/02/2032;0;0;current;;;;68;24/10/2024;JLF;;01/07/2065;0;0;compute_energy;;;;178;03/04/2025
01/03/2032;0;0;current;;;;69;24/10/2024;JLF;;01/10/2065;0;0;compute_energy;;;;179;03/04/2025
01/04/2032;0;0;current;;;;70;24/10/2024;JLF;;01/01/2066;0;0;compute_energy;;;;180;03/04/2025
01/04/2032;0;0;compute_energy;;;;45;03/04/2025;JLF;;01/04/2066;0;0;compute_energy;;;;181;03/04/2025
01/05/2032;0;0;current;;;;71;24/10/2024;JLF;;01/07/2066;0;0;compute_energy;;;;182;03/04/2025
01/06/2032;0;0;current;;;;72;24/10/2024;JLF;;01/10/2066;0;0;compute_energy;;;;183;03/04/2025
01/07/2032;0;0;current;;;;73;24/10/2024;JLF;;01/01/2067;0;0;compute_energy;;;;184;03/04/2025
01/07/2032;0;0;compute_energy;;;;46;03/04/2025;JLF;;01/04/2067;0;0;compute_energy;;;;185;03/04/2025
01/08/2032;0;0;current;;;;74;24/10/2024;JLF;;01/07/2067;0;0;compute_energy;;;;186;03/04/2025
01/09/2032;0;0;current;;;;75;24/10/2024;JLF;;01/10/2067;0;0;compute_energy;;;;187;03/04/2025
01/10/2032;0;0;current;;;;76;24/10/2024;JLF;;01/01/2068;0;0;compute_energy;;;;188;03/04/2025
01/10/2032;0;0;compute_energy;;;;47;03/04/2025;JLF;;01/04/2068;0;0;compute_energy;;;;189;03/04/2025
01/11/2032;0;0;current;;;;77;24/10/2024;JLF;;01/07/2068;0;0;compute_energy;;;;190;03/04/2025
01/12/2032;0;0;current;;;;78;24/10/2024;JLF;;01/10/2068;0;0;compute_energy;;;;191;03/04/2025
01/01/2033;0;0;current;;;;79;24/10/2024;JLF;;;;;;;;;;
01/01/2033;0;0;compute_energy;;;;48;03/04/2025;JLF;;;;;;;;;;
01/02/2033;0;0;current;;;;80;24/10/2024;JLF;;;;;;;;;;
01/03/2033;0;0;current;;;;81;24/10/2024;JLF;;;;;;;;;;
01/04/2033;0;0;current;;;;82;24/10/2024;JLF;;;;;;;;;;
01/04/2033;0;0;compute_energy;;;;49;03/04/2025;JLF;;;;;;;;;;
01/05/2033;0;0;current;;;;83;24/10/2024;JLF;;;;;;;;;;
01/06/2033;0;0;current;;;;84;24/10/2024;JLF;;;;;;;;;;
01/07/2033;0;0;current;;;;85;24/10/2024;JLF;;;;;;;;;;
01/07/2033;0;0;compute_energy;;;;50;03/04/2025;JLF;;;;;;;;;;
01/08/2033;0;0;current;;;;86;24/10/2024;JLF;;;;;;;;;;
01/09/2033;0;0;current;;;;87;24/10/2024;JLF;;;;;;;;;;
01/10/2033;0;0;current;;;;88;24/10/2024;JLF;;;;;;;;;;
01/10/2033;0;0;compute_energy;;;;51;03/04/2025;JLF;;;;;;;;;;
01/11/2033;0;0;current;;;;89;24/10/2024;JLF;;;;;;;;;;
01/12/2033;0;0;current;;;;90;24/10/2024;JLF;;;;;;;;;;
01/01/2034;0;0;current;;;;91;24/10/2024;JLF;;;;;;;;;;
01/01/2034;0;0;compute_energy;;;;52;03/04/2025;JLF;;;;;;;;;;
01/02/2034;0;0;current;;;;92;24/10/2024;JLF;;;;;;;;;;
01/03/2034;0;0;current;;;;93;24/10/2024;JLF;;;;;;;;;;
01/04/2034;0;0;current;;;;94;24/10/2024;JLF;;;;;;;;;;
01/04/2034;0;0;compute_energy;;;;53;03/04/2025;JLF;;;;;;;;;;
01/05/2034;0;0;current;;;;95;24/10/2024;JLF;;;;;;;;;;
01/06/2034;0;0;current;;;;96;24/10/2024;JLF;;;;;;;;;;
01/07/2034;0;0;current;;;;97;24/10/2024;JLF;;;;;;;;;;
01/07/2034;0;0;compute_energy;;;;54;03/04/2025;JLF;;;;;;;;;;
01/08/2034;0;0;current;;;;98;24/10/2024;JLF;;;;;;;;;;
01/09/2034;0;0;current;;;;99;24/10/2024;JLF;;;;;;;;;;
01/10/2034;0;0;current;;;;100;24/10/2024;JLF;;;;;;;;;;
01/10/2034;0;0;compute_energy;;;;55;03/04/2025;JLF;;;;;;;;;;
01/11/2034;0;0;current;;;;101;24/10/2024;JLF;;;;;;;;;;
01/12/2034;0;0;current;;;;102;24/10/2024;JLF;;;;;;;;;;
01/01/2035;0;0;current;;;;103;24/10/2024;JLF;;;;;;;;;;
01/01/2035;0;0;compute_energy;;;;56;03/04/2025;JLF;;;;;;;;;;
01/02/2035;0;0;current;;;;104;24/10/2024;JLF;;;;;;;;;;
01/03/2035;0;0;current;;;;105;24/10/2024;JLF;;;;;;;;;;
01/04/2035;0;0;current;;;;106;24/10/2024;JLF;;;;;;;;;;
01/04/2035;0;0;compute_energy;;;;57;03/04/2025;JLF;;;;;;;;;;
01/05/2035;0;0;current;;;;107;24/10/2024;JLF;;;;;;;;;;
01/06/2035;0;0;current;;;;108;24/10/2024;JLF;;;;;;;;;;
01/07/2035;0;0;current;;;;109;24/10/2024;JLF;;;;;;;;;;
01/07/2035;0;0;compute_energy;;;;58;03/04/2025;JLF;;;;;;;;;;
01/08/2035;0;0;current;;;;110;24/10/2024;JLF;;;;;;;;;;
01/09/2035;0;0;current;;;;111;24/10/2024;JLF;;;;;;;;;;
01/10/2035;0;0;current;;;;112;24/10/2024;JLF;;;;;;;;;;
01/10/2035;0;0;compute_energy;;;;59;03/04/2025;JLF;;;;;;;;;;
01/11/2035;0;0;current;;;;113;24/10/2024;JLF;;;;;;;;;;
01/12/2035;0;0;current;;;;114;24/10/2024;JLF;;;;;;;;;;
01/01/2036;0;0;current;;;;115;24/10/2024;JLF;;;;;;;;;;
01/01/2036;0;0;compute_energy;;;;60;03/04/2025;JLF;;;;;;;;;;
01/02/2036;0;0;current;;;;116;24/10/2024;JLF;;;;;;;;;;
01/03/2036;0;0;current;;;;117;24/10/2024;JLF;;;;;;;;;;
01/04/2036;0;0;current;;;;118;24/10/2024;JLF;;;;;;;;;;
