date;time;ID;X;Y
16/11/2021;01:25;2012-87761;164.872;-44.272
16/11/2021;03:02;2012-87761;164.911;-44.316
16/11/2021;07:09;2012-87761;165.117;-44.364
16/11/2021;08:01;2012-87761;165.075;-44.395
16/11/2021;08:52;2012-87761;165.113;-44.406
16/11/2021;08:52;2012-87761;165.147;-44.376
16/11/2021;14:31;2012-87761;165.346;-44.496
16/11/2021;15:09;2012-87761;165.218;-44.448
16/11/2021;16:04;2012-87761;165.247;-44.46
16/11/2021;20:11;2012-87761;165.347;-44.557
16/11/2021;20:17;2012-87761;165.359;-44.561
16/11/2021;20:17;2012-87761;165.355;-44.566
16/11/2021;21:55;2012-87761;165.473;-44.599
16/11/2021;21:58;2012-87761;165.423;-44.597
17/11/2021;02:56;2012-87761;165.708;-44.708
17/11/2021;07:30;2012-87761;165.682;-44.744
17/11/2021;08:26;2012-87761;165.737;-44.851
17/11/2021;10:03;2012-87761;165.786;-44.923
17/11/2021;10:04;2012-87761;165.787;-44.923
17/11/2021;14:19;2012-87761;165.946;-45.103
17/11/2021;15:05;2012-87761;165.862;-45
17/11/2021;20:03;2012-87761;165.917;-45.024
17/11/2021;21:29;2012-87761;165.927;-45.036
18/11/2021;02:42;2012-87761;165.958;-45.33
18/11/2021;07:11;2012-87761;166.073;-45.526
18/11/2021;08:20;2012-87761;166.103;-45.553
18/11/2021;14:17;2012-87761;166.356;-45.892
18/11/2021;19:28;2012-87761;166.497;-46.067
18/11/2021;19:51;2012-87761;166.34;-45.86
18/11/2021;21:01;2012-87761;166.37;-45.902
18/11/2021;21:14;2012-87761;166.365;-45.906
18/11/2021;21:28;2012-87761;166.375;-45.924
19/11/2021;02:33;2012-87761;166.502;-46.102
19/11/2021;07:38;2012-87761;166.584;-46.383
19/11/2021;09:15;2012-87761;166.685;-46.349
19/11/2021;09:52;2012-87761;166.685;-46.451
19/11/2021;14:01;2012-87761;166.816;-46.555
19/11/2021;14:40;2012-87761;166.833;-46.597
19/11/2021;15:40;2012-87761;166.898;-46.629
19/11/2021;19:42;2012-87761;167.068;-46.849
19/11/2021;20:42;2012-87761;167.149;-46.843
20/11/2021;02:21;2012-87761;167.423;-47.049
20/11/2021;04:00;2012-87761;167.489;-47.108
